iter	RMSE
0	14.48615023
1	14.13053748
2	13.76673831
3	13.41232451
4	13.06873017
5	12.78082529
6	12.46162286
7	12.1990355
8	11.94462668
9	11.66357418
10	11.42237086
11	11.18011429
12	10.93472735
13	10.68914289
14	10.44858909
15	10.25375518
16	10.0454479
17	9.851253151
18	9.674879194
19	9.492546028
20	9.345680018
21	9.170262888
22	8.993176858
23	8.835491395
24	8.678791442
25	8.531415337
26	8.396482942
27	8.268763355
28	8.130221614
29	8.007801776
30	7.88339385
31	7.759008767
32	7.658596151
33	7.551089085
34	7.450554802
35	7.348849965
36	7.264208807
37	7.181332878
38	7.100616518
39	7.025182969
40	6.945668025
41	6.873710429
42	6.802642426
43	6.737350588
44	6.670422297
45	6.610641372
46	6.557897126
47	6.503406345
48	6.446572111
49	6.39672767
50	6.348251613
51	6.297761818
52	6.251368398
53	6.208745369
54	6.157837445
55	6.116608538
56	6.080097844
57	6.03842718
58	6.000484724
59	5.966764096
60	5.933315172
61	5.899327909
62	5.869997194
63	5.839456866
64	5.81689
65	5.787628904
66	5.760297604
67	5.733041753
68	5.709236273
69	5.687481457
70	5.661361264
71	5.636332665
72	5.609758329
73	5.588953319
74	5.570824351
75	5.553195547
76	5.534910466
77	5.518599436
78	5.505865349
79	5.484083376
80	5.466600353
81	5.449339318
82	5.429666913
83	5.414168893
84	5.400829949
85	5.382758608
86	5.367933573
87	5.356428231
88	5.344308267
89	5.328815638
90	5.314561491
91	5.305599154
92	5.293990332
93	5.282786216
94	5.270997649
95	5.260846953
96	5.250200671
97	5.240672602
98	5.233171003
99	5.220716063
100	5.210885436
101	5.202273568
102	5.193764492
103	5.183779104
104	5.175917753
105	5.166521829
106	5.159715516
107	5.153124874
108	5.144298235
109	5.137317119
110	5.127696876
111	5.118767464
112	5.1083769
113	5.100539777
114	5.096132646
115	5.089717051
116	5.082290618
117	5.07565228
118	5.066465347
119	5.061437778
120	5.0564174
121	5.048951858
122	5.044374564
123	5.037238203
124	5.034068478
125	5.030307687
126	5.026496069
127	5.018814319
128	5.013534659
129	5.007988944
130	4.998992885
131	4.991790691
132	4.984583625
133	4.980321928
134	4.974941936
135	4.970565337
136	4.967084299
137	4.962625407
138	4.958166658
139	4.953390413
140	4.948227338
141	4.943821186
142	4.939875324
143	4.932965381
144	4.929586707
145	4.927387865
146	4.924183639
147	4.921198374
148	4.91325099
149	4.906231664
150	4.900695801
151	4.896876111
152	4.890946953
153	4.888349787
154	4.882471134
155	4.873236398
156	4.865475477
157	4.860683901
158	4.856537191
159	4.850988905
160	4.847519665
161	4.844881035
162	4.837849521
163	4.831851611
164	4.827330749
165	4.823302216
166	4.819845364
