iter	Passed	Remaining
0	57	57262
1	57	28926
2	58	19504
3	59	14769
4	59	11916
5	60	10033
6	61	8675
7	61	7656
8	62	6853
9	62	6199
10	63	5674
11	63	5247
12	64	4883
13	64	4568
14	65	4293
15	65	4049
16	66	3842
17	66	3653
18	67	3486
19	68	3338
20	68	3200
21	69	3074
22	69	2963
23	70	2859
24	70	2764
25	71	2676
26	72	2594
27	72	2518
28	73	2446
29	73	2383
30	74	2321
31	74	2265
32	75	2208
33	75	2156
34	76	2107
35	77	2062
36	77	2020
37	78	1978
38	78	1938
39	79	1900
40	79	1864
41	80	1830
42	80	1796
43	81	1765
44	81	1738
45	82	1709
46	82	1681
47	83	1655
48	83	1630
49	84	1606
50	84	1580
51	85	1559
52	86	1537
53	86	1516
54	87	1496
55	87	1475
56	88	1457
57	88	1439
58	89	1422
59	89	1406
60	90	1391
61	90	1376
62	91	1360
63	92	1345
64	92	1331
65	93	1316
66	93	1302
67	94	1288
68	95	1286
69	95	1273
70	96	1261
71	96	1247
72	97	1235
73	97	1223
74	98	1211
75	98	1200
76	99	1189
77	99	1178
78	100	1167
79	100	1157
80	101	1146
81	101	1136
82	101	1126
83	102	1117
84	102	1108
85	103	1099
86	103	1090
87	104	1083
88	105	1074
89	105	1066
90	106	1059
91	106	1051
92	107	1043
93	107	1036
94	107	1028
95	108	1021
96	108	1013
97	109	1006
98	109	999
99	110	992
100	110	986
101	111	979
102	111	972
103	112	965
104	112	959
105	112	952
106	113	947
107	113	940
108	114	934
109	115	930
110	115	925
111	116	920
112	116	915
113	117	910
114	117	905
115	118	900
116	118	895
117	119	889
118	119	884
119	119	879
120	120	874
121	120	869
122	121	865
123	121	860
124	122	855
125	122	851
126	123	847
127	123	843
128	124	840
129	124	835
130	125	831
131	125	827
132	126	823
133	126	819
134	127	815
135	127	812
136	128	808
137	128	805
138	129	801
139	129	797
140	130	793
141	130	790
142	131	786
143	131	783
144	132	779
145	132	775
146	133	772
147	133	768
148	134	765
149	134	762
150	135	759
151	135	756
152	136	752
153	136	749
154	136	746
155	137	744
156	138	741
157	138	738
158	138	735
159	139	731
160	139	729
161	140	726
162	141	724
163	141	720
164	142	718
165	142	715
166	143	713
167	143	710
168	143	707
169	144	705
170	145	703
171	145	700
172	145	697
173	146	694
174	146	692
175	147	690
176	147	687
177	148	684
178	148	682
179	149	679
180	149	677
181	150	674
182	150	672
183	150	669
184	151	667
185	151	665
186	152	662
187	152	660
188	153	658
189	153	656
190	154	653
191	154	651
192	155	649
193	155	647
194	156	645
195	157	644
196	157	641
197	158	640
198	158	637
199	159	636
200	159	634
201	160	632
202	160	629
203	160	627
204	161	625
205	161	623
206	162	620
207	162	619
208	163	617
209	163	615
210	164	614
211	164	611
212	165	610
213	165	608
214	166	606
215	166	604
216	167	602
217	167	601
218	168	600
219	168	598
220	169	596
221	169	594
222	169	592
223	170	590
224	170	588
225	171	587
226	171	585
227	172	583
228	172	582
229	173	580
230	173	578
231	174	576
232	174	575
233	175	573
234	175	571
235	176	570
236	176	568
237	177	566
238	177	565
239	177	563
240	178	561
241	178	560
242	179	558
243	179	557
244	180	555
245	180	554
246	181	552
247	181	551
248	182	549
249	182	548
250	183	547
251	183	545
252	184	543
253	184	542
254	184	540
255	185	539
256	186	538
257	186	536
258	187	535
259	187	533
260	187	532
261	188	530
262	188	529
263	189	527
264	189	525
265	190	524
266	190	523
267	191	521
268	191	520
269	191	518
270	192	517
271	192	515
272	193	514
273	193	512
274	193	511
275	194	510
276	195	509
277	195	507
278	195	506
279	196	504
280	196	503
281	197	501
282	197	500
283	197	499
284	198	497
285	198	496
286	199	494
287	199	493
288	200	492
289	200	490
290	201	489
291	201	488
292	201	487
293	202	485
294	202	484
295	203	483
296	203	482
297	204	480
298	204	479
299	204	478
300	205	476
301	205	475
302	206	474
303	206	473
304	207	471
305	207	470
306	207	469
307	208	468
308	208	467
309	209	466
310	209	464
311	210	463
312	210	462
313	211	461
314	211	460
315	212	459
316	212	458
317	213	457
318	213	456
319	214	454
320	214	453
321	214	452
322	215	451
323	215	450
324	216	448
325	216	447
326	217	446
327	217	445
328	217	444
329	218	443
330	218	442
331	219	440
332	219	440
333	220	438
334	220	437
335	220	436
336	221	435
337	221	434
338	222	433
339	222	431
340	222	430
341	223	429
342	223	428
343	224	427
344	224	426
345	224	425
346	225	424
347	225	423
348	226	421
349	226	420
350	226	419
351	227	418
352	227	417
353	228	416
354	228	415
355	229	414
356	229	413
357	229	412
358	230	411
359	230	410
360	231	409
361	231	408
362	232	407
363	232	406
364	232	405
365	233	403
366	233	402
367	233	401
368	234	400
369	234	400
370	235	399
371	235	398
372	236	397
373	236	396
374	237	395
375	237	394
376	238	393
377	238	392
378	239	391
379	239	390
380	239	389
381	240	388
382	240	388
383	241	387
384	241	386
385	242	385
386	242	384
387	243	383
388	243	382
389	243	381
390	244	380
391	244	379
392	245	379
393	245	378
394	246	377
395	246	376
396	246	375
397	247	374
398	247	373
399	248	372
400	248	371
401	249	370
402	249	369
403	250	368
404	250	368
405	250	367
406	251	366
407	251	365
408	252	364
409	252	363
410	253	362
411	253	361
412	254	361
413	254	360
414	255	359
415	255	358
416	256	357
417	256	357
418	256	356
419	257	355
420	257	354
421	258	353
422	258	352
423	258	351
424	259	351
425	259	350
426	260	349
427	260	348
428	261	347
429	261	346
430	261	345
431	262	344
432	262	343
433	263	343
434	263	342
435	263	341
436	264	340
437	264	339
438	265	338
439	265	337
440	266	337
441	266	336
442	266	335
443	267	334
444	267	333
445	268	333
446	268	332
447	269	331
448	269	330
449	269	329
450	270	328
451	270	328
452	271	327
453	271	326
454	271	325
455	272	324
456	272	324
457	273	323
458	273	322
459	274	321
460	274	321
461	275	320
462	275	319
463	275	318
464	276	317
465	276	317
466	277	316
467	277	315
468	278	314
469	278	314
470	278	313
471	279	312
472	279	311
473	280	310
474	280	310
475	281	309
476	281	308
477	281	307
478	282	306
479	282	306
480	283	305
481	283	304
482	283	303
483	284	303
484	284	302
485	285	301
486	285	300
487	285	300
488	286	299
489	286	298
490	287	297
491	287	296
492	287	296
493	288	295
494	288	294
495	289	293
496	289	293
497	289	292
498	290	291
499	290	290
500	291	289
501	291	289
502	291	288
503	292	287
504	292	286
505	293	286
506	293	285
507	293	284
508	294	283
509	294	283
510	295	282
511	295	281
512	295	280
513	296	280
514	296	279
515	297	278
516	297	277
517	297	277
518	298	276
519	298	275
520	299	275
521	299	274
522	299	273
523	300	272
524	300	272
525	301	271
526	301	270
527	302	269
528	302	269
529	302	268
530	303	267
531	303	267
532	304	266
533	304	265
534	305	265
535	305	264
536	305	263
537	306	263
538	306	262
539	307	261
540	307	261
541	308	260
542	308	259
543	308	258
544	309	258
545	309	257
546	310	256
547	310	256
548	310	255
549	311	254
550	311	254
551	312	253
552	312	252
553	313	252
554	313	251
555	313	250
556	314	249
557	314	249
558	315	248
559	315	247
560	315	247
561	316	246
562	316	245
563	317	245
564	317	244
565	318	243
566	318	243
567	319	242
568	319	242
569	320	241
570	320	240
571	320	240
572	321	239
573	322	239
574	322	238
575	323	237
576	323	237
577	324	236
578	324	235
579	324	235
580	325	234
581	325	233
582	326	233
583	326	232
584	327	231
585	327	231
586	327	230
587	328	230
588	328	229
589	329	228
590	329	228
591	330	227
592	330	226
593	330	226
594	331	225
595	331	224
596	332	224
597	332	223
598	332	222
599	333	222
600	333	221
601	334	221
602	334	220
603	335	219
604	335	219
605	335	218
606	336	217
607	336	217
608	337	216
609	337	215
610	337	215
611	338	214
612	338	213
613	339	213
614	339	212
615	340	211
616	340	211
617	340	210
618	341	210
619	341	209
620	342	208
621	342	208
622	342	207
623	343	206
624	343	206
625	344	205
626	344	205
627	345	204
628	345	203
629	345	203
630	346	202
631	346	201
632	347	201
633	347	200
634	347	200
635	348	199
636	348	198
637	349	198
638	349	197
639	349	196
640	350	196
641	350	195
642	351	195
643	351	194
644	352	193
645	352	193
646	353	192
647	353	192
648	354	191
649	354	190
650	354	190
651	355	189
652	355	189
653	356	188
654	356	187
655	356	187
656	357	186
657	357	185
658	358	185
659	358	184
660	359	184
661	359	183
662	359	182
663	360	182
664	360	181
665	361	181
666	361	180
667	361	179
668	362	179
669	362	178
670	363	178
671	363	177
672	364	176
673	364	176
674	365	175
675	365	175
676	365	174
677	366	173
678	366	173
679	367	172
680	367	172
681	368	171
682	368	171
683	369	170
684	369	169
685	370	169
686	370	168
687	370	168
688	371	167
689	371	167
690	372	166
691	372	165
692	373	165
693	373	164
694	373	164
695	374	163
696	374	162
697	375	162
698	375	161
699	376	161
700	376	160
701	376	159
702	377	159
703	377	158
704	378	158
705	378	157
706	378	157
707	379	156
708	379	155
709	380	155
710	380	154
711	381	154
712	381	153
713	381	152
714	382	152
715	382	151
716	383	151
717	383	150
718	384	150
719	384	149
720	384	148
721	385	148
722	385	147
723	386	147
724	386	146
725	387	146
726	387	145
727	387	144
728	388	144
729	388	143
730	389	143
731	389	142
732	390	142
733	390	141
734	390	140
735	391	140
736	391	139
737	392	139
738	392	138
739	392	138
740	393	137
741	393	136
742	394	136
743	394	135
744	395	135
745	395	134
746	396	134
747	396	133
748	397	133
749	397	132
750	397	131
751	398	131
752	398	130
753	399	130
754	399	129
755	400	129
756	400	128
757	400	128
758	401	127
759	401	126
760	402	126
761	402	125
762	403	125
763	403	124
764	403	124
765	404	123
766	404	122
767	405	122
768	405	121
769	405	121
770	406	120
771	406	120
772	407	119
773	407	118
774	407	118
775	408	117
776	408	117
777	409	116
778	409	116
779	410	115
780	410	115
781	410	114
782	411	114
783	411	113
784	412	112
785	412	112
786	413	111
787	413	111
788	413	110
789	414	110
790	414	109
791	415	109
792	415	108
793	415	107
794	416	107
795	416	106
796	417	106
797	417	105
798	418	105
799	418	104
800	418	104
801	419	103
802	419	102
803	420	102
804	420	101
805	421	101
806	421	100
807	421	100
808	422	99
809	422	99
810	423	98
811	423	98
812	424	97
813	424	96
814	424	96
815	425	95
816	425	95
817	426	94
818	426	94
819	427	93
820	427	93
821	428	92
822	428	92
823	428	91
824	429	91
825	429	90
826	430	89
827	430	89
828	430	88
829	431	88
830	432	87
831	432	87
832	432	86
833	433	86
834	433	85
835	434	85
836	434	84
837	435	84
838	435	83
839	435	83
840	436	82
841	436	81
842	437	81
843	437	80
844	438	80
845	438	79
846	439	79
847	439	78
848	439	78
849	440	77
850	440	77
851	441	76
852	441	76
853	441	75
854	442	75
855	442	74
856	443	73
857	443	73
858	443	72
859	444	72
860	444	71
861	445	71
862	445	70
863	446	70
864	446	69
865	447	69
866	447	68
867	447	68
868	448	67
869	448	67
870	449	66
871	449	66
872	450	65
873	450	64
874	450	64
875	451	63
876	451	63
877	452	62
878	452	62
879	453	61
880	453	61
881	454	60
882	454	60
883	454	59
884	455	59
885	455	58
886	456	58
887	456	57
888	456	57
889	457	56
890	457	56
891	458	55
892	458	54
893	459	54
894	459	53
895	460	53
896	461	52
897	461	52
898	461	51
899	462	51
900	462	50
901	462	50
902	463	49
903	463	49
904	464	48
905	464	48
906	464	47
907	465	47
908	465	46
909	466	46
910	466	45
911	467	45
912	467	44
913	467	44
914	468	43
915	468	42
916	469	42
917	469	41
918	469	41
919	470	40
920	470	40
921	471	39
922	471	39
923	471	38
924	472	38
925	472	37
926	473	37
927	473	36
928	474	36
929	474	35
930	474	35
931	475	34
932	475	34
933	476	33
934	476	33
935	477	32
936	477	32
937	477	31
938	478	31
939	478	30
940	479	30
941	479	29
942	479	29
943	480	28
944	480	27
945	481	27
946	481	26
947	482	26
948	482	25
949	482	25
950	483	24
951	483	24
952	484	23
953	484	23
954	485	22
955	486	22
956	486	21
957	487	21
958	487	20
959	487	20
960	488	19
961	488	19
962	489	18
963	489	18
964	490	17
965	490	17
966	491	16
967	491	16
968	492	15
969	492	15
970	492	14
971	493	14
972	493	13
973	494	13
974	494	12
975	495	12
976	495	11
977	495	11
978	496	10
979	496	10
980	497	9
981	497	9
982	498	8
983	498	8
984	498	7
985	499	7
986	499	6
987	500	6
988	500	5
989	500	5
990	501	4
991	501	4
992	502	3
993	502	3
994	502	2
995	503	2
996	503	1
997	504	1
998	504	0
999	505	0
